Y,ID
6.36,1
7.16,2
4.39,3
5.07,4
6.38,5
5.41,6
6.64,7
5.15,8
7.59,9
6.38,10
6.3,11
6.46,12
5.66,13
6.39,14
6.49,15
5.36,16
5.29,17
7.57,18
4.89,19
6.7,20
5.4,21
7.92,22
7.55,23
8.22,24
7.42,25
7.49,26
7.38,27
7.36,28
8.23,29
6.37,30
7.66,31
7.17,32
6.72,33
7.59,34
8.09,35
7.37,36
7.72,37
7.77,38
5.96,39
6.08,40
5.92,41
6.05,42
5.89,43
4.37,44
6.48,45
5.55,46
6.03,47
8.01,48
6.72,49
7.28,50
5.82,51
7.72,52
6.54,53
7.47,54
6.62,55
6.96,56
6.89,57
7.17,58
6.64,59
6.86,60
7.42,61
7.33,62
7.13,63
6.25,64
6.59,65
7.15,66
5.83,67
6.94,68
6.82,69
9.44,70
8.21,71
9.81,72
6.96,73
7.42,74
8.81,75
8.96,76
8.44,77
3.61,78
3.66,79
6.08,80
6.77,81
4.89,82
5.9,83
7.12,84
6.32,85
8.82,86
7.77,87
8.52,88
6.74,89
6.96,90
6.96,91
6.92,92
6.96,93
7.11,94
6.72,95
7.1,96
6.77,97
7.47,98
7.2,99
5.14,100
5.52,101
7.19,102
5.72,103
7.14,104
7.74,105
6.85,106
6.92,107
6.85,108
6.49,109
7.8,110
7.3,111
7.22,112
8.57,113
7.06,114
7.24,115
6.7,116
7.33,117
7.27,118
6.28,119
6.8,120
7.4,121
8.14,122
6.59,123
8.6,124
8.29,125
7.82,126
7.49,127
8.12,128
7.62,129
6.38,130
6.92,131
6.7,132
7.46,133
6.37,134
6.59,135
5.42,136
6.09,137
5.44,138
5.96,139
5.49,140
5.7,141
8.89,142
8.17,143
8.38,144
9.4,145
8.43,146
5.48,147
5.85,148
6.64,149
7.12,150
7.74,151
5.85,152
5.7,153
6.06,154
7.28,155
6.96,156
6.85,157
6.89,158
7.37,159
6.67,160
8.12,161
7.76,162
6.39,163
7.36,164
5.52,165
7.93,166
7.98,167
7.53,168
7.27,169
6.85,170
5.48,171
7.48,172
5.9,173
5.49,174
7.52,175
5.92,176
5.47,177
7.14,178
6.46,179
7.24,180
6.62,181
6.37,182
6.43,183
5.54,184
7.43,190
7.29,191
7.74,192
7.89,193
7.0,194
7.59,195
6.77,196
7.1,197
7.06,198
6.21,199
6.59,200
5.21,201
6.55,202
6.92,203
5.13,204
4.89,205
5.68,206
4.93,207
5.94,208
8.82,209
6.82,210
6.77,211
6.64,212
6.46,213
5.02,214
5.85,215
5.66,216
5.89,217
6.37,218
4.45,219
4.77,233
4.48,234
4.55,235
4.79,242
3.86,243
4.84,244
4.14,245
4.92,246
4.22,247
6.43,248
6.4,249
5.23,250
5.74,251
4.29,252
4.6,253
5.51,254
4.24,255
5.34,256
4.85,257
5.41,258
3.3,259
4.31,262
4.51,263
3.45,264
5.13,294
6.27,295
4.26,296
5.39,297
3.34,298
3.67,299
4.34,300
4.38,301
4.2,302
3.72,303
5.46,304
5.1,305
5.3,306
5.89,307
5.92,308
4.82,309
4.64,310
4.29,311
4.69,312
4.09,313
5.72,314
5.6,315
4.42,316
5.4,317
5.09,318
5.07,319
4.59,320
5.11,321
4.99,322
4.44,323
4.58,324
4.84,325
6.52,326
5.24,327
4.64,328
6.33,329
6.06,330
5.72,331
4.68,332
5.72,333
4.22,334
4.63,335
6.37,336
6.48,337
6.3,338
6.22,339
6.28,340
6.74,341
6.72,342
6.43,343
6.82,344
6.49,345
7.7,346
7.77,347
6.87,348
6.11,349
6.92,350
7.54,351
6.8,352
8.36,353
6.64,354
6.85,355
6.64,356
6.14,357
6.09,358
7.14,359
7.64,360
6.34,361
